Username,followers,listed_count,degree,mentioned
D4rk_Sun,731,4,0.000358616,1
MoriMatsuko,261,16,0.000358616,1
ElAlacrancillo_,23638,127,0.000179308,1
RetroRevelation,1503,38,0.000358616,1
CodeNamePizza,156392,66,0.000179308,1
Slink_Lovette,14,0,0.000358616,1
KrisIsTheWorst,87,0,0.000358616,1
nickytheman12,690,2,0.000358616,1
NSFWTysonTyph,361,0,0.000358616,1
foxcy_acnh,224,2,0.000179308,1
yanzinatlaw,556,1,0.000179308,1
Vega67021379,40,0,0.000358616,1
Pikmingirl,875,14,0.000179308,1
lioerri,287,4,0.000358616,1
haveyoumetklev,5261,132,0.000179308,1
IY42045573,15,0,0.000358616,1
artistnest,1549,167,0.000179308,1
KdogGaming31,925,13,0.000358616,1
eternalwrose,37,3,0.000358616,1
_oh_look_a_weeb,443,11,0.000179308,1
ElGangresyano,106,1,0.000358616,1
braaamzy,192,0,0.000358616,1
soupcatsimp,3,0,0.000358616,1
restegroupir,2931,7,0.000179308,1
IndianaJesus,38,4,0.000358616,1
eufh0ria,33,2,0.000358616,1
Fonz_Bread,29,2,0.000358616,1
pakk_u,253,6,0.000358616,1
EmpireBMTH,54,4,0.000358616,1
pombinharoxa,1082,8,0.000358616,1
ByLaraJackson,3632,37,0.000358616,1
Chaosxsilencer,441183,376,0.000179308,1
Samika23043108,27,0,0.000358616,1
MattWalshBlog,810676,3867,0.000179308,1
HYPEX,2233737,3039,0.000179308,1
BabyBoiLogey,1280,16,0.000358616,1
DjUchuu,2240,12,0.000358616,1
Mothdurg,151,0,0.000358616,1
SuperGuyNumber1,82,2,0.000358616,1
RobaFett64,92,4,0.000537924,1
2chunix,14,0,0.000358616,1
AlicePaladares,529,5,0.000358616,1
Reshisn,133,0,0.000358616,1
Ayyyitsboulet,1270,0,0.000358616,1
Kleines_Tal,101,0,0.000358616,1
sandman420,1527,36,0.000358616,1
Elva_877,97,0,0.000358616,1
VaIakMountain,494,32,0.000358616,1
lamarcodon,233,0,0.000358616,1
BendahDr,123,0,0.000358616,1
ReyJingiliani,121,3,0.000358616,1
TankerS_,97,2,0.000358616,1
xlook2theskyx,290,3,0.000358616,1
danieldemilio,269,2,0.000358616,1
ribbonotes,812,13,0.000179308,1
Terrayaki3,291,5,0.000358616,1
Mar_Animation,930,4,0.000358616,1
Redik_Trios,77,0,0.000358616,1
claroscur_,1788,16,0.000358616,1
GauchoGooner,253,11,0.000358616,1
ashabysss,49,0,0.000358616,1
naylavrbh,1284,42,0.000358616,1
Italiajin21,2998,143,0.000358616,1
SeninPicka,573,1,0.000358616,1
_timmyg95,442,0,0.000358616,1
Praesidium0328,537,3,0.000358616,1
TheRealRival_94,26,1,0.000358616,1
artdezeta,374,1,0.000179308,1
StevenBeaumont7,384,1,0.000358616,1
enemyoftrust,106,2,0.000358616,1
neonbabel,1230,0,0.000179308,1
YaboiHoxen,1414,0,0.000358616,1
CamWillingham21,389,3,0.000358616,1
sekretskies,215,0,0.000358616,1
Samsapoping,794,0,0.000358616,1
MozzyFluorum,134,2,0.000358616,1
jhanan,311,7,0.000358616,1
kAnAkAt4k,2,0,0.000358616,1
kattleinad,1587,0,0.000179308,1
scaralcvr,187,17,0.000358616,1
McMayhem083,334,3,0.000358616,1
IdiazAyuso,744802,1928,0.000179308,1
TheRavvyn,857,15,0.000358616,1
streetlightdawn,329,6,0.000358616,1
Iunatrice,199,6,0.000358616,1
SuperSaiyan95,132,3,0.000179308,1
shiemi_no_risu,538,9,0.000537924,1
7H30NLYF3RNZ74N,456,8,0.000358616,1
MarkAntonie12,156,4,0.000358616,1
paulodaluz12,1011,0,0.000358616,1
cafe_fandango,1174,6,0.000179308,1
Kotlolish,731,15,0.000358616,1
Holy_Bronx,44,0,0.000358616,1
humansrawful,171,4,0.000358616,1
esedane,122,3,0.000179308,1
alamoaggie08,328,15,0.000358616,1
billrosasjr,86,2,0.000358616,1
Crowmere2,3,0,0.000358616,1
NickRedMachine,709,20,0.000358616,1
AlfioZacco,1019,9,0.000179308,1
dropthvt,406,1,0.000358616,1
AshJeffys,208,12,0.000358616,1
Nickeltendo,49,1,0.000179308,1
terminiangoron,8,0,0.000358616,1
flurrycakez,305,11,0.000358616,1
lsthief,157,0,0.000358616,1
MummyGrenouille,662,4,0.000358616,1
FabioCETF,2119,4,0.000179308,1
Modo7Pod,1446,16,0.000179308,1
Icoochu,13123,98,0.000179308,1
gothgibsongirl,224,2,0.000358616,1
TravezRipley,652,64,0.000358616,1
grenouille781,310,2,0.000179308,1
fatfarng,1,0,0.000179308,1
_thalula_,1550,25,0.000179308,1
ThatCuntChloe,217,2,0.000358616,1
EAriaera,174,2,0.000358616,1
cottonmajin,71,0,0.000358616,1
Romancane,12536,154,0.000358616,1
Minartaugustin,97,1,0.000179308,1
MECHA_OOKS,15,2,0.000358616,1
crypticrysts,1057,14,0.000358616,1
EggyNeedles,302,5,0.000358616,1
chesthairalert,537,0,0.000179308,1
mcclure111,29918,627,0.000358616,1
dynamik_one,151,1,0.000358616,1
MendaLerenda99,225,11,0.000179308,1
Rubi_zelda,313,0,0.000179308,1
lordsoftheseth,3542,26,0.000358616,1
DeveshBag,90,1,0.000358616,1
delawerton,212,0,0.000358616,1
evilgenius815,65,0,0.000358616,1
Derlowe14,30,0,0.000358616,1
SleepyTeaMage,36,0,0.000358616,1
irenemcho,4611,54,0.000179308,1
iscarquelate,197,0,0.000358616,1
edgewalker81,1143,33,0.000358616,1
CraftsuneMiku,90,0,0.000358616,1
_kanayans_,517,2,0.000358616,1
ReginaSpiegel5,5095,0,0.000179308,1
kashikiyunos,11,0,0.000179308,1
JamesRiav,113,2,0.000358616,1
alltheangelsx,997,12,0.000358616,1
Manu_Aventuras,384,0,0.000179308,1
GlassTurtle1,842,0,0.000358616,1
AlexOneXGaming,17,0,0.000358616,1
NefariousAryq,175,2,0.000358616,1
RandomnessMayro,55,0,0.000358616,1
WalterWethermen,53,0,0.000179308,1
Cantolope_TL,621,3,0.000358616,1
JhonBonJon,33,1,0.000179308,1
DAMunguiaFuent1,88,0,0.000358616,1
Kaygun61ts,12,0,0.000896539,1
calebdoerksen2,475,4,0.000358616,1
Depresso0410,123,0,0.000358616,1
sonymicronin,154,36,0.000358616,1
modernights,100,1,0.000358616,1
NatePhallacy,1948,0,0.000358616,1
korokleafs,881,0,0.000179308,1
case_face,1921,46,0.000179308,1
looxPetzichen,48,21,0.000358616,1
linkaishin,140,4,0.000358616,1
EccentricArm777,2535,71,0.000179308,1
JAYVERSACE,1638127,677,0.000179308,1
Schmae212,687,11,0.000358616,1
WinterMuteJelly,4637,37,0.000179308,1
mikanjellies,318,24,0.000358616,1
ianpcartoonr,279,1,0.000358616,1
harIzivy,748,31,0.000358616,1
BanjoBear696,19,0,0.000358616,1
Grant_Hanlon,481,13,0.000358616,1
xangbar,110,2,0.000358616,1
Corexxed__,63,1,0.000358616,1
Lark2Bird,281,1,0.000179308,1
RayZoh,303,5,0.000537924,1
foxes_in_love,213435,631,0.000179308,1
pesicomosaico,301,9,0.000179308,1
SCUMflowerMan,256,11,0.000358616,1
colinlemoncake,104,0,0.000358616,1
annacarbo12,273,2,0.000358616,1
superjefefinal1,191,0,0.000358616,1
ganondorf94,165,2,0.000358616,1
k_so122,53,1,0.000358616,1
RandySieracki,43,0,0.000358616,1
KrmDagger,65,0,0.000358616,1
PlazmaticBurn,60,0,0.000358616,1
VGItems,547,0,0.000358616,1
GFuelEnergy,1701194,528,0.000179308,1
brieelle_,734,3,0.000358616,1
je_somerton,5123,12,0.000358616,1
Bethsburgerbar,1026,19,0.000179308,1
golvio,188,0,0.000537924,1
lspicerart,258,8,0.000358616,1
PoesiaYRelatos,113787,486,0.000358616,1
heliosx42,104,2,0.000358616,1
kranzman,1703,46,0.000358616,1
webology,7909,257,0.000179308,1
kelfus1,107,0,0.000358616,1
bobbysoto,115,0,0.000358616,1
phidica,96,0,0.000358616,1
Gosho4869,82,4,0.000358616,1
stakethisclaim,498,6,0.000358616,1
vergilecter,224,3,0.000358616,1
FrostyShutIn,167,2,0.000358616,1
Cider_152,45,0,0.000358616,1
ak8tsuki,43,0,0.000179308,1
cathysuniverse,36,0,0.000358616,1
_cademille,401,29,0.000358616,1
Mousieta,102,0,0.000358616,1
hikuro14,334,5,0.000358616,1
sewerw0lf_,42,1,0.000358616,1
imkellyrichards,2113,56,0.000179308,1
Kinglink86_,1827,2,0.000358616,1
evanhegwood,75,0,0.000358616,1
wiill64,1424,22,0.000358616,1
winksgaming,831,11,0.000537924,1
Sack_of_Bricks,20,0,0.000358616,1
_redhottt,1569,9,0.000358616,1
gromhellscreen,92,1,0.000179308,1
SahZa_,68,0,0.000358616,1
DojaCat,4742286,2122,0.000179308,1
marciaapss_,3843,0,0.000179308,1
BZRich64,46,1,0.000537924,1
gominismo,3192,29,0.000358616,1
dubyaDdubya,172,4,0.000358616,1
4x7h8,1325,7,0.000358616,1
shinsokun,2546,58,0.000179308,1
BrianONG007,1,0,0.000179308,1
larosehime,171,4,0.000358616,1
exelion_,164,5,0.000358616,1
AaronsArtRoom,1045,30,0.000358616,1
Gcintraa,804,3,0.000179308,1
MhmmmColter,224,7,0.000358616,1
ShadowLWolf,15,1,0.000358616,1
ttwoson,37,1,0.000358616,1
mclovinnho,2134,8,0.000358616,1
red_foxx15,171,5,0.000358616,1
notasbit,309,19,0.000358616,1
albacxr,1275,4,0.000358616,1
Luiso_EK,155,1,0.000358616,1
prayzanza,137,2,0.000179308,1
MntalHlthMatt,2294,45,0.000358616,1
WakahisaSensei,1982,21,0.000179308,1
Aspirtration,14,0,0.000358616,1
GroadmiralThraw,2232,18,0.000179308,1
DividuatedFlux,822,30,0.000358616,1
ChorusSarcastic,2018,4,0.000717231,1
DustBucketDX,869,11,0.000358616,1
KonTheSnerd,15,0,0.000358616,1
dorepo_toledo,16,0,0.000358616,1
dan_hoyt,1532,25,0.000358616,1
HylianGossip,19,0,0.000358616,1
MikeyGormley,282,0,0.000358616,1
papermetroid,72,1,0.000358616,1
mindlessjohnny,321,17,0.000358616,1
Pastor_Boz,389,4,0.000179308,1
Ace70Black,667,5,0.000358616,1
VaultOfAss,259,0,0.000358616,1
callieicos,413,15,0.000358616,1
GameGrooves,1462,11,0.000537924,1
OfficePainter,2888,12,0.000179308,1
i4dains,2431,10,0.000358616,1
CarlosBenavent1,0,0,0.000179308,1
luvsaiko,78,12,0.000358616,1
fath0bbit,780,7,0.000179308,1
Pixelated_Ben,1253,11,0.000717231,1
DCSHGShinku,1248,14,0.000358616,1
DisteriousCP,194,1,0.000358616,1
fakegeekbot,29,1,0.000358616,1
general_magma1,422,1,0.000179308,1
Anormal21275770,1,0,0.000358616,1
chescaleigh,239583,1963,0.000179308,1
BlueEarOtter,378,7,0.000358616,1
Bekzness,484,26,0.000179308,1
marceljucart,148,0,0.000358616,1
spacethetics,65,1,0.000179308,1
MrFranCazorla,1148,7,0.000358616,1
ZaniestCartoon,51,0,0.000358616,1
DiceAndNames,13450,333,0.000179308,1
luligfs,56,0,0.000358616,1
kylie1886,439,0,0.000358616,1
nerdallstars,14721,25,0.000358616,1
AleRevengeance,135,1,0.000179308,1
theCandleBites,22,0,0.000358616,1
prolezone,549,0,0.000358616,1
RyanLeeMP,1362,1,0.000179308,1
PokeDude011,338,2,0.000358616,1
TheWishblade,54,3,0.000358616,1
Aka_theRed,68,2,0.000358616,1
MetalGanjey,29,0,0.000358616,1
icrsandrea,39,0,0.000179308,1
Hiperop,90988,23,0.000179308,1
kawaisprite,149447,115,0.000179308,1
CloudySkies_98,37,0,0.000179308,1
AlixDakota,862,0,0.000537924,1
ChitoEzio,205,1,0.000358616,1
helvetica5td,8714,51,0.000179308,1
catpatispatcat,102,0,0.000179308,1
UrWaifuSux2022,92,1,0.000358616,1
its_menieb,28147,119,0.000179308,1
LegendofLex,255,4,0.000358616,1
cfsaints37,305,5,0.000358616,1
Reuniclus_Zelda,8,0,0.000179308,1
LadyTyto,3340,0,0.000358616,1
Somekill151,0,0,0.000179308,1
seasaltcosmos,715,9,0.000358616,1
GamerStockist,3265,15,0.000358616,1
_christena_t,11924,82,0.000358616,1
viperlain,93,1,0.000358616,1
GeekyN8,2500,12,0.000358616,1
pagkahari,963,10,0.000358616,1
zeldarp_ebooks,19,0,0.000358616,1
andrezzabplays,3038,19,0.000358616,1
2ndartbook,939,10,0.000358616,1
misterparker,934,44,0.000358616,1
87StarsBen,3374,6,0.000717231,1
ayluski,1667,30,0.000179308,1
ElAgri141102,17,0,0.000358616,1
Ahtni1,101,1,0.000358616,1
Kamizhou_UK,883,11,0.000358616,1
joshi64bit,127,1,0.000358616,1
meepsmoops,156,1,0.000358616,1
MikkiNami,571,5,0.000358616,1
Incorgnito1,9,0,0.000358616,1
crystals_sugar,724,1,0.000358616,1
wuteverfloats,158,4,0.000358616,1
ItsCrawdaddy,80,0,0.000358616,1
theavalkyrie,15895,217,0.000179308,1
asinglemoonunit,14,0,0.000358616,1
GMatt82,1,2,0.000358616,1
YinYangGhosty,85,0,0.000358616,1
CWhitakerSport,18302,406,0.000179308,1
PillarCreators,1818,12,0.000358616,1
SJHDoesGames,681,20,0.000179308,1
Saberspark,226969,284,0.000179308,1
GOATRVIS,433,3,0.000179308,1
TheLaagy,538,14,0.000358616,1
JayDemille,142,5,0.000358616,1
MollyOKami,82,1,0.000358616,1
JVogt_21,163,3,0.000358616,1
Arlyurl,316,2,0.000358616,1
Tehleetazn,80,1,0.000358616,1
ommietra_,97,1,0.000358616,1
SwoobatMafia,123,3,0.000537924,1
nrding,832,6,0.000358616,1
LSonicraft,95,0,0.000179308,1
zeldawilliams,424797,1254,0.000179308,1
cooIval,194,2,0.000358616,1
gpadialb,143,0,0.000179308,1
boshtok19,23,1,0.000358616,1
IFTecnologico,61,1,0.000358616,1
son_so_hyun,20,0,0.000179308,1
J2KChoiceCuts,43,1,0.000179308,1
nosoyBenja_,55,0,0.000358616,1
JollyGreenCarl,139,1,0.000358616,1
AstrobotFacts,358,17,0.000358616,1
cnni,13557745,47877,0.000179308,1
